^FINANCIAL,6/23/2015,1741.5,1752.56,1741.5,1742.84,937120,25949,,,,,,,,
AUB,6/23/2015,73.2,73.65,73,73.65,8060,525739,,,,,,,,
BDO,6/23/2015,110.1,111.4,110.1,110.7,2794900,-25720449,,,,,,,,
BPI,6/23/2015,98,98,97.25,97.25,1235290,-15448177,,,,,,,,
CHIB,6/23/2015,45.65,45.75,45.65,45.7,25100,0,,,,,,,,
CSB,6/23/2015,10.2,10.2,10.2,10.2,500,0,,,,,,,,
EW,6/23/2015,20.3,20.3,20.15,20.25,73800,536720,,,,,,,,
MBT,6/23/2015,90.8,91.5,90.8,91,4249420,29717915.5,,,,,,,,
PBC,6/23/2015,27,27,27,27,1000,0,,,,,,,,
PNB,6/23/2015,68.8,69,68.6,68.7,366430,19685748.5,,,,,,,,
PSB,6/23/2015,90,93.85,89.05,93.85,180,0,,,,,,,,
RCB,6/23/2015,41.65,42,41,41.65,21900,-174690,,,,,,,,
SECB,6/23/2015,166,167,164.3,164.6,521630,16838779,,,,,,,,
UBP,6/23/2015,61.9,61.9,60.1,61,2680,-18100,,,,,,,,
AGF,6/23/2015,7.5,7.5,7.5,7.5,10000,0,,,,,,,,
BKR,6/23/2015,1.82,1.85,1.82,1.85,10000,5580,,,,,,,,
BLFI,6/23/2015,2.43,2.43,2.33,2.4,569000,0,
COL,6/23/2015,15.52,15.98,15.52,15.96,300,0,
FFI,6/23/2015,6.4,7,6.4,7,1400,0,
MFC,6/23/2015,850,850,850,850,10,0,
NRCP,6/23/2015,0.95,1,0.95,1,12000,0,
PSE,6/23/2015,306.2,307,306,306.8,6770,0,
SLF,6/23/2015,1500,1500,1500,1500,25,0,
V,6/23/2015,3.15,3.15,3.15,3.15,137000,0,
^INDUSTRIAL,6/23/2015,11694.02,11694.76,11507.62,11520,1577399,-156266,
ACR,6/23/2015,1.92,1.92,1.87,1.89,3268000,607900,
AP,6/23/2015,44.8,44.8,44.5,44.5,1208700,18746535,
EDC,6/23/2015,7.69,7.69,7.54,7.64,16718600,16489613,
FGEN,6/23/2015,25.5,25.65,25.4,25.4,3267000,-33233245,
FPH,6/23/2015,83.55,84.6,83.5,83.55,796830,764217,
MER,6/23/2015,290,294,287,294,775420,-10396032,
MWC,6/23/2015,25,25.05,24.6,24.95,1376000,-4756465,
PCOR,6/23/2015,8.95,9.18,8.95,9.09,4817000,1961507,
PNX,6/23/2015,3.9,3.99,3.82,3.89,93000,120810,
TA,6/23/2015,2.17,2.18,2.17,2.18,639000,0,
VVT,6/23/2015,22.7,22.7,22.6,22.6,2300,0,
ANI,6/23/2015,1.11,1.25,1.11,1.25,8000,0,
BMM,6/23/2015,52.05,59.5,52.05,59.5,920,0,
CNPF,6/23/2015,18.7,18.76,18.46,18.5,117800,-249198,
DMPL,6/23/2015,11.5,11.7,11.5,11.6,90200,774750,
DNL,6/23/2015,19,19.4,18.94,19.04,1905100,-1448344,
EMP,6/23/2015,9.12,9.2,9.12,9.14,357400,904989.9997,
GSMI,6/23/2015,13.86,13.86,13.86,13.86,700,0,
