^FINANCIAL,06/25/2013,1528.59,1535.88,1459.54,1497.55,2424385,-335636
AUB,06/25/2013,78,78.5,68,75,463450,-13967887
BPI,06/25/2013,88.9,91,86.75,88,6017780,-6786582
BDO,06/25/2013,79,80.5,76.65,77,6595740,1401662
CHIB,06/25/2013,62.7,62.7,58,60.1,198930,412888
CSB,06/25/2013,11.7,11.7,11.7,11.7,1000,0
EW,06/25/2013,30.75,30.75,27.5,28.6,1827300,5456750
MBT,06/25/2013,105,105.9,96.5,104,7704410,-233846909
PBB,06/25/2013,24.55,25,23.7,23.9,329100,-1051130
PBC,06/25/2013,70.5,70.5,70,70,1860,-33600
PNB,06/25/2013,80,80.55,75.95,77.5,1058140,-31186620
PSB,06/25/2013,120,120,119,119,2470,0
RCB,06/25/2013,54.3,54.3,49.5,52,1127780,10035011
SECB,06/25/2013,143,143,128,140,1862190,-66205014
UBP,06/25/2013,132.8,135.5,124,128,204120,15392690
BKD,06/25/2013,0.96,1,0.95,0.95,403000,9940
BLFI,06/25/2013,1.95,2,1.85,1.85,136000,-20000
COL,06/25/2013,19.48,19.48,18.5,19.46,31600,317000
FFI,06/25/2013,18,18,18,18,500,0
FAF,06/25/2013,0.78,0.78,0.75,0.75,420000,-307920
I,06/25/2013,2.78,2.9,2.61,2.87,49000,0
MFC,06/25/2013,570,570,570,570,190,57000
MAKE,06/25/2013,27.55,27.55,27.15,27.15,9300,0
MED,06/25/2013,0.3,0.3,0.29,0.295,920000,0
NRCP,06/25/2013,1.64,1.64,1.64,1.64,107000,0
PSE,06/25/2013,390,390,370.2,390,96990,-15314580
SLF,06/25/2013,1050,1050,1045,1045,270,350
V,06/25/2013,2.27,2.32,2.25,2.32,58000,0
^INDUSTRIAL,06/25/2013,9015.9,9129.72,8611.78,8815.69,2800212,-9249
AP,06/25/2013,31.5,32.1,30.5,31,6719500,36371305
ACR,06/25/2013,1.25,1.25,1.2,1.22,2009000,-129320
H2O,06/25/2013,6.2,7.14,6.2,7.14,6000,0
EDC,06/25/2013,5.37,5.44,4.94,5.05,19434300,-9467358
FGEN,06/25/2013,16.96,18,15.7,16.4,2964500,-10338150
FPH,06/25/2013,75,76.5,68,76,1359510,-23029182
MWC,06/25/2013,29.35,30.7,29.35,29.75,11665400,4869290
MER,06/25/2013,307,317,288,310,780930,9805474
PCOR,06/25/2013,13.24,13.24,12.3,12.62,16674400,17868876
PNX,06/25/2013,5.4,5.4,4.8,5,1333500,4575559
SPC,06/25/2013,5.05,5.05,4.6,5,16400,0
TA,06/25/2013,2.14,2.18,1.9,2.08,17445000,767200
VVT,06/25/2013,9.3,10,8.95,10,2100,0
ANI,06/25/2013,5.21,5.25,5.1,5.2,123900,0
FOOD,06/25/2013,1.4,1.4,1.36,1.38,425000,0
DMPL,06/25/2013,23,23.85,20,23,1422900,1261945
DNL,06/25/2013,6.34,6.44,5.8,6.1,11503700,-9874811
GSMI,06/25/2013,12.5,12.5,12.5,12.5,4300,0
JFC,06/25/2013,130.5,131.3,124.7,124.7,1271640,-51899752
LTG,06/25/2013,18.7,19.5,18,18.9,8997900,50702498
PIP,06/25/2013,5.4,5.4,5.07,5.07,6188900,-5837233
PF,06/25/2013,234.8,240,210,215,125810,1402266
RFM,06/25/2013,4.52,4.6,4.48,4.58,9052000,3146800
ROX,06/25/2013,2.94,2.94,2.88,2.88,69000,0
SMC,06/25/2013,88,89.9,86.8,89,770960,-28804088
SFI,06/25/2013,0.122,0.122,0.118,0.119,1350000,0
URC,06/25/2013,108,110,102.9,105.5,5424160,41406369
VMC,06/25/2013,1.78,1.78,1.6,1.74,4194000,0
VITA,06/25/2013,0.78,0.78,0.7,0.77,433000,0
ABG,06/25/2013,17,17,16.02,16.02,18500,0
EEI,06/25/2013,13.26,13.34,11.1,12,8226800,-57339508
FED,06/25/2013,6,6,6,6,300,0
HLCM,06/25/2013,14.4,14.4,13,13.4,81800,864200
LRI,06/25/2013,10.48,10.5,9.3,10.24,2135200,-2669344
MMI,06/25/2013,1.15,1.15,1,1,7326000,305120
MWIDE,06/25/2013,20,20.7,19.4,19.58,1505000,12680300
PHN,06/25/2013,12.4,12.4,12,12,93300,0
CMT,06/25/2013,1.07,1.07,0.9,1,763000,0
T,06/25/2013,2.12,2.12,2,2,226000,0
VUL,06/25/2013,1.37,1.37,1.25,1.3,2512000,19650
COAT,06/25/2013,2.79,2.79,2.62,2.62,1169000,0
LMG,06/25/2013,1.98,2.1,1.93,1.96,152000,0
MCP,06/25/2013,8.21,8.9,7.6,7.6,7542500,3489360
CHIPS,06/25/2013,16.6,16.6,15,16,7100,3000
GREEN,06/25/2013,0.014,0.014,0.013,0.014,799100000,691600
IMI,06/25/2013,2.95,2.95,2.92,2.92,32000,0
ION,06/25/2013,0.5,0.5,0.5,0.5,119000,0
PMPC,06/25/2013,6.08,6.6,6.08,6.6,400,0
ALPHA,06/25/2013,20,20.5,20,20.4,4600,0
SPH,06/25/2013,1.9,1.9,1.9,1.9,309000,-91200
^HOLDING,06/25/2013,5289.7,5343.35,4943.03,5091.94,3068144,-693229
ABA,06/25/2013,0.64,0.64,0.61,0.64,8482000,0
AEV,06/25/2013,42.5,43.9,40,40,4009000,-104364990
AGI,06/25/2013,21.6,22.5,20.25,21.4,30917400,-24294940
APO,06/25/2013,1.93,1.93,1.91,1.91,69000,0
ANS,06/25/2013,6.5,6.5,6.3,6.3,410200,31500
AAA,06/25/2013,3,3.1,3,3,14000,0
ATNB,06/25/2013,1.16,1.16,1.1,1.1,132000,146300
AC,06/25/2013,565,575,512,519,993700,-232953540
COSCO,06/25/2013,8.57,8.72,8,8.7,13488300,16073144
DMC,06/25/2013,48,48,44.5,46,2345200,-62082235
FDC,06/25/2013,4.54,4.84,4.3,4.4,378000,-814100
FJP,06/25/2013,2.9,2.9,2.9,2.9,31000,0
FPI,06/25/2013,0.159,0.219,0.151,0.219,1520000,0
GTCAP,06/25/2013,740,740,690,718,563190,52022980
HI,06/25/2013,8.29,8.29,6,6.5,1163900,-279023
JGS,06/25/2013,37.5,37.95,34,37,1952200,-16553220
KPHB,06/25/2013,5,5,5,5,30000,150000
LIHC,06/25/2013,0.69,0.69,0.61,0.61,126000,0
LPZ,06/25/2013,5.16,5.16,4.85,4.85,4736500,-10297458
MHC,06/25/2013,0.52,0.56,0.5,0.5,266000,0
MARC,06/25/2013,1.64,1.64,1.4,1.56,828000,0
MPI,06/25/2013,5.05,5.15,4.6,5,61528200,-81335511
MIC,06/25/2013,6,6,5,5.94,107000,0
MJIC,06/25/2013,3,3.9,3,3.9,25000,0
PA,06/25/2013,0.031,0.032,0.031,0.032,5600000,0
PRIM,06/25/2013,1.52,1.52,1.52,1.52,2000,0
POPI,06/25/2013,0.55,0.55,0.53,0.53,300000,0
REG,06/25/2013,2.55,2.55,2.55,2.55,19000,0
SPM,06/25/2013,1.62,1.62,1.62,1.62,59000,0
SINO,06/25/2013,0.3,0.3,0.29,0.3,2670000,-30000
SM,06/25/2013,932,949,885,910,739760,-228589700
SGI,06/25/2013,1.72,1.72,1.5,1.59,190000,-58800
SOC,06/25/2013,1.09,1.09,1.04,1.04,210000,0
SGP,06/25/2013,315,315,315,315,10,0
UNI,06/25/2013,0.136,0.136,0.136,0.136,10000,0
ZHI,06/25/2013,0.305,0.305,0.3,0.3,990000,0
^PROPERTY,06/25/2013,2320.53,2378.58,2235.22,2291.01,2566350,-339016
BRN,06/25/2013,2.02,2.02,1.92,1.92,222000,-46000
ALHI,06/25/2013,24.5,25,23.2,25,2500,36940
ARA,06/25/2013,1.4,1.46,1.25,1.25,1154000,0
ALCO,06/25/2013,0.201,0.205,0.201,0.205,60000,0
