^FINANCIAL,03/02/2016,1507.44,1518.52,1503.18,1505.81,1180662,-282572
AUB,03/02/2016,44.8,45,44.1,45,41700,1452415
BDO,03/02/2016,100.5,101.5,99.8,99.9,4451730,-39993707
BPI,03/02/2016,84,84.3,82.95,83.05,3735890,-222437723
CHIB,03/02/2016,36.6,36.6,35.85,36.6,266900,0
EW,03/02/2016,15.18,15.4,15,15,722400,-1899424
MBT,03/02/2016,76,77.9,76,77.3,2651250,3285821
PBB,03/02/2016,15,15.04,15,15.02,14500,0
PNB,03/02/2016,52,52.5,51.9,51.9,109180,-3739434
PSB,03/02/2016,98.6,98.6,98.6,98.6,10,0
RCB,03/02/2016,32.3,32.8,32.3,32.5,13200,-107250
SECB,03/02/2016,143.8,143.8,141,141.5,876510,-19432622
UBP,03/02/2016,56.5,56.5,56.2,56.2,170,-1130
AGF,03/02/2016,2.88,2.88,2.78,2.85,106000,55800
BKR,03/02/2016,1.39,1.44,1.34,1.42,264000,0
BLFI,03/02/2016,3.15,3.15,3.07,3.1,50000,0
COL,03/02/2016,14,14,13.9,14,105600,0
MED,03/02/2016,0.58,0.58,0.55,0.56,943000,85400
PSE,03/02/2016,274,274,269,269,3590,161400
V,03/02/2016,1.52,1.54,1.52,1.54,127000,-1520
^INDUSTRIAL,03/02/2016,11224.5,11398.12,11222.89,11394.88,2222468,704339
ACR,03/02/2016,1.56,1.57,1.52,1.52,480000,0
AP,03/02/2016,43.5,43.55,43.4,43.55,3756600,60252705
EDC,03/02/2016,5.72,5.89,5.72,5.78,28267200,13923391
FGEN,03/02/2016,20.4,20.6,20.15,20.35,4203700,-6481200
FPH,03/02/2016,60.8,61,60.8,60.95,142320,1793447
MER,03/02/2016,332.2,337.8,331,331,392030,5275730
MWC,03/02/2016,26.5,26.65,26.5,26.6,160200,-126605
PCOR,03/02/2016,9.09,9.5,9.09,9.41,18716100,-12352904
PNX,03/02/2016,3.75,3.79,3.75,3.79,206000,-18950
